"module name","license","repository"
"@graphql-codegen/cli@5.0.6","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/client-preset@4.8.3","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/core@4.0.2","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/gql-tag-operations@4.0.17","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/plugin-helpers@5.1.1","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/schema-ast@4.1.0","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/typed-document-node@5.1.2","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/typescript-operations@4.6.1","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/typescript@4.1.6","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/visitor-plugin-common@5.8.0","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-hive/signal@1.0.0","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/apollo-engine-loader@8.0.28","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/batch-execute@9.0.19","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/code-file-loader@8.1.29","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/delegate@10.2.23","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/documents@1.0.1","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/executor-common@0.0.4","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/executor-common@0.0.6","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/executor-graphql-ws@2.0.7","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/executor-http@1.3.3","MIT","https://github.com/graphql-hive/gateway"
"@graphql-tools/executor-legacy-ws@1.1.25","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/executor@1.5.1","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/git-loader@8.0.33","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/github-loader@8.0.22","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/graphql-file-loader@8.1.10","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/graphql-tag-pluck@8.3.28","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/import@7.1.10","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/json-file-loader@8.0.26","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/load@8.1.8","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/merge@9.1.7","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/optimize@2.0.0","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/prisma-loader@8.0.17","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/relay-operation-optimizer@7.0.27","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/schema@10.0.31","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/url-loader@8.0.33","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/utils@10.11.0","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/utils@11.0.0","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/wrap@10.1.4","MIT","https://github.com/graphql-hive/gateway"
"@graphql-typed-document-node/core@3.2.0","MIT","https://github.com/dotansimha/graphql-typed-document-node"
"@iconify/types@2.0.0","MIT","https://github.com/iconify/iconify"
"@iconify/utils@3.1.0","MIT","https://github.com/iconify/iconify"
"@img/sharp-libvips-linux-x64@1.0.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-linux-x64@0.33.5","Apache-2.0","https://github.com/lovell/sharp"
"@inquirer/ansi@1.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/checkbox@4.3.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/confirm@5.1.21","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/core@10.3.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/editor@4.2.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/expand@4.0.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/external-editor@1.0.3","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/figures@1.0.15","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/input@4.3.1","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/number@3.0.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/password@4.0.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/prompts@7.10.1","MIT","https://github.com/SBoudrias/Inquirer.js"
